expiry,stock,stk_price,strike,sd,type,lastprice,volume,openinterest,voi-flag,voi,be,em,empct
2024-05-22,SPY,531.1,527.0,1,Put,0.35,21628.0,4535.0,1,4.77,-0.01,3.62,0.01
2024-05-23,SPY,531.1,527.0,1,Put,0.65,3166.0,2014.0,1,1.57,-0.01,4.74,0.01
2024-05-23,SPY,531.1,535.0,1,Call,0.64,9963.0,2736.0,1,3.64,0.01,4.74,0.01
2024-05-31,XLF,42.21,41.5,1,Put,0.08,4050.0,2302.0,1,1.76,-0.02,0.84,0.02
2024-05-31,PFE,28.61,30.5,2,Call,0.03,1246.0,260.0,1,4.79,0.07,0.96,0.03
2024-05-31,AAL,14.13,15.0,1,Call,0.08,4885.0,3187.0,1,1.53,0.07,0.93,0.06
2024-05-31,XLI,125.19,123.5,1,Put,0.28,22.0,3.0,1,7.33,-0.02,1.85,0.01
2024-05-31,XLI,125.19,129.0,2,Call,0.05,20.0,2.0,1,10.0,0.03,1.85,0.01
2024-06-14,XLI,125.19,129.0,2,Call,0.4,1.0,0.0,1,inf,0.03,3.3,0.03
2024-05-31,GOOG,179.38,172.5,1,Put,0.38,1873.0,975.0,1,1.92,-0.04,5.93,0.03
2024-06-07,GOOG,179.38,175.0,1,Put,1.37,807.0,451.0,1,1.79,-0.03,3.25,0.02
2024-05-31,MMM,103.23,100.0,1,Put,0.4,271.0,22.0,1,12.32,-0.04,3.02,0.03
2024-05-31,NTR,59.45,61.0,1,Call,0.35,34.0,19.0,1,1.79,0.03,1.12,0.02
2024-06-14,MDB,365.39,315.0,1,Put,7.4,36.0,12.0,1,3.0,-0.16,29.35,0.08
2024-05-31,XLU,72.71,72.0,1,Put,0.38,539.0,256.0,1,2.11,-0.01,0.8,0.01
2024-05-31,SMH,234.65,257.5,2,Call,0.28,501.0,58.0,1,8.64,0.1,12.03,0.05
2024-05-31,MU,127.18,120.0,1,Put,0.85,533.0,313.0,1,1.7,-0.06,7.65,0.06
2024-06-07,MU,127.18,141.0,2,Call,0.96,51.0,14.0,1,3.64,0.12,9.19,0.07
2024-11-15,SHY,81.44,81.0,1,Put,0.2,5.0,1.0,1,5.0,-0.01,0.85,0.01
2024-11-15,SHY,81.44,81.0,1,Put,0.2,5.0,1.0,1,5.0,-0.01,0.85,0.01
2024-06-07,ENPH,111.51,104.0,1,Put,1.54,358.0,43.0,1,8.33,-0.08,9.65,0.08
2024-06-07,ENPH,111.51,126.0,2,Call,1.11,56.0,20.0,1,2.8,0.14,9.65,0.08
2024-06-14,ENPH,111.51,126.0,2,Call,1.61,11.0,3.0,1,3.67,0.14,12.72,0.11
2024-07-19,JKS,24.34,27.5,1,Call,0.9,10.0,2.0,1,5.0,0.17,2.37,0.09
2024-07-19,JKS,24.34,30.0,2,Call,0.42,23.0,12.0,1,1.92,0.25,2.37,0.09
2025-01-17,VUZI,1.54,4.0,2,Call,0.1,31.0,9.0,1,3.44,1.66,1.5,0.93
2024-07-19,BNO,30.9,28.0,1,Put,0.25,2.0,1.0,1,2.0,-0.1,3.05,0.09
