expiry,earnings_date,stock,type,sd,strike,stk_price,lastprice,volume,openinterest,voi,be,em,empct
2024-08-16,2024-08-06,uber,Put,1,60.0,62.99,1.97,312.0,24604.0,0.012680864900016258,-0.07874265756469281,6.9,0.1040641371646293
2024-08-16,2024-08-06,uber,Call,1,66.0,62.99,2.19,95.0,1600.0,0.059375,0.0825527861565327,6.9,0.1040641371646293
2024-08-16,2024-08-01,dkng,Put,1,31.0,35.62,0.6,35.0,4018.0,0.008710801393728223,-0.14654688377316114,5.66,0.15095451993262213
2024-08-16,2024-08-01,dkng,Call,1,40.0,35.62,0.82,276.0,35473.0,0.007780565500521523,0.1459854014598541,5.66,0.15095451993262213
2024-08-16,2024-08-06,uwmc,Put,1,7.0,8.22,0.06,20.0,446.0,0.04484304932735426,-0.15571776155717765,1.8,0.20802919708029194
2024-08-09,2024-08-06,uwmc,Call,1,9.0,8.22,0.1,16.0,93.0,0.17204301075268819,0.10705596107055948,1.38,0.1594890510948905
2024-08-09,2024-08-06,uwmc,Call,1,9.0,8.22,0.1,16.0,93.0,0.17204301075268819,0.10705596107055948,1.38,0.1594890510948905
2024-08-23,2024-08-01,sq,Put,1,52.0,60.03,1.28,60.0,18.0,3.3333333333333335,-0.1550891221056139,9.879999999999999,0.15635515575545558
2024-08-23,2024-07-31,mo,Call,1,53.0,50.63,0.28,7.0,634.0,0.011041009463722398,0.05234050957930078,2.8499999999999996,0.05347619988149317
2024-10-18,2024-07-30,lc,Call,1,15.0,11.0,0.15,1.0,31.0,0.03225806451612903,0.3772727272727273,4.6,0.3972727272727272
2024-12-20,2024-08-12,jks,Put,2,12.5,20.35,0.4,3.0,19.0,0.15789473684210525,-0.4054054054054055,9.73,0.4542260442260442
2024-12-20,2024-08-12,jks,Put,1,15.0,20.35,1.0,102.0,105.0,0.9714285714285714,-0.31203931203931207,9.73,0.4542260442260442
2025-01-17,2024-08-12,jks,Put,1,15.0,20.35,1.05,1.0,46.0,0.021739130434782608,-0.3144963144963146,8.25,0.3851351351351351
2024-12-20,2024-08-12,jks,Call,1,25.0,20.35,2.0,4.0,54.0,0.07407407407407407,0.3267813267813267,9.73,0.4542260442260442
2025-01-17,2024-08-12,jks,Call,1,25.0,20.35,2.55,5.0,57.0,0.08771929824561403,0.35380835380835374,8.25,0.3851351351351351
2024-10-18,2024-08-06,vuzi,Put,1,1.0,1.23,0.1,25.0,145.0,0.1724137931034483,-0.26829268292682923,1.06,0.8186991869918698
2024-10-18,2024-08-06,vuzi,Put,1,1.0,1.23,0.1,25.0,145.0,0.1724137931034483,-0.26829268292682923,1.06,0.8186991869918698
2025-01-17,2024-08-06,vuzi,Put,1,1.0,1.23,0.22,2.0,19.0,0.10526315789473684,-0.36585365853658536,1.42,1.0967479674796747
